Адрес;Зона/микрорайон;Проблема (категория);Заявок;Примеры формулировок
Липовый парк, 8;Липовый парк;Парковки;7;Больше парковок | Крысы бегают, нужна парковка | Парковочные места
Липовый парк, 8;Липовый парк;Крысы и насекомые;3;Бегают крысы | Крысы бегают, нужна парковка
Липовый парк, 8;Липовый парк;Питбайки и мотошум;2;Шум питбайков, драки футболистов | Шумят питбайки
Липовый парк, 8;Липовый парк;Площадки для выгула собак;2;Нет площадок для выгула, не развита dog-friendly среда: нет мусорок и пакетов | Сделать площадку для выгула собак
Липовый парк, 8;Липовый парк;Прочее / федеральные темы;1;Ставка по ипотеке, принуждение к мессенджеру «Макс», цифровой рубль
Липовый парк, 8;Липовый парк;Шум и ночные гонки;1;Шум питбайков, драки футболистов
Липовый парк, 8;Липовый парк;Самокаты и доставщики;1;Ограничить самокатчиков в пешеходной зоне
Липовый парк, 8;Липовый парк;Мигранты и общественный порядок;1;Мигранты
Липовый парк, 9;Липовый парк;Спортивные площадки;3;Детям не дают играть на футбольном стадионе | Зимой не чистят футбольное поле | Перегорели фонари на баскетбольной площадке
Липовый парк, 9;Липовый парк;Дороги и тротуары;2;Много ям на дорогах, наладить сроки отключения ГВС/ХВС | Не трогать тротуары в этом году
Липовый парк, 9;Липовый парк;Крысы и насекомые;2;Бегают крысы | Тараканы и крысы
Липовый парк, 9;Липовый парк;Парковки;1;Парковочные места
Липовый парк, 9;Липовый парк;Вырубка дубов;1;Срезают дубы
Липовый парк, 9;Липовый парк;Безопасность и охрана;1;Охрана (Росгвардия / ЧОП) в парковых зонах
Липовый парк, 9;Липовый парк;Управляющая компания и ЖКХ;1;Много ям на дорогах, наладить сроки отключения ГВС/ХВС
Липовый парк, 9;Липовый парк;Площадки для выгула собак;1;Нет площадки для выгула собак, как в Коньково
Липовый парк, 9;Липовый парк;Освещение;1;Перегорели фонари на баскетбольной площадке
Липовый парк, 9;Липовый парк;Мусор и уборка;1;Мусорки переполнены, никто не убирает
Липовый парк, 9;Липовый парк;Мигранты и общественный порядок;1;Мигранты
Липовый парк, 10;Липовый парк;Парковки;3;Парковки | Парковочные места
Липовый парк, 10;Липовый парк;Крысы и насекомые;3;Бегают крысы | Гоняют доставщики, крысы
Липовый парк, 10;Липовый парк;Освещение;1;Освещение в парке
Липовый парк, 10;Липовый парк;Дороги и тротуары;1;Быстрее делать дороги, не растягивать сроки
Липовый парк, 10;Липовый парк;Мигранты и общественный порядок;1;Мигранты мешают
Липовый парк, 10;Липовый парк;Вырубка дубов;1;Срезают дубы
Липовый парк, 10;Липовый парк;Питбайки и мотошум;1;Питбайки
Липовый парк, 10;Липовый парк;Спортивные площадки;1;"Шум от ударов мяча о щит баскетбольной площадки — нужен бесшумный щит; нужны биотуалеты в парке"
Липовый парк, 10;Липовый парк;Шум и ночные гонки;1;"Шум от ударов мяча о щит баскетбольной площадки — нужен бесшумный щит; нужны биотуалеты в парке"
Липовый парк, 10;Липовый парк;Благоустройство и детские площадки;1;"Шум от ударов мяча о щит баскетбольной площадки — нужен бесшумный щит; нужны биотуалеты в парке"
Липовый парк, 10;Липовый парк;Самокаты и доставщики;1;Гоняют доставщики, крысы
Липовый парк, 7;Липовый парк;Парковки;3;Очень мало парковок | Парковочные места | Срезают дубы, нет парковок, шумят
Липовый парк, 7;Липовый парк;Наркомания, алкоголь, бездомные;2;В трёх беседках собираются наркоманы, шумят | Убрать алкоголиков из парка ночью
Липовый парк, 7;Липовый парк;Шум и ночные гонки;2;В трёх беседках собираются наркоманы, шумят | Срезают дубы, нет парковок, шумят
Липовый парк, 7;Липовый парк;Вырубка дубов;2;Вырубка дубов и лесов, больше зелени | Срезают дубы, нет парковок, шумят
Липовый парк, 7;Липовый парк;Мигранты и общественный порядок;2;Мигранты | Много мигрантов
Липовый парк, 7;Липовый парк;Питбайки и мотошум;1;Питбайки ездят громко
Липовый парк, 7;Липовый парк;Озеленение и уход за газонами;1;Вырубка дубов и лесов, больше зелени
Липовый парк, 7;Липовый парк;Спортивные площадки;1;Поздно включают свет на футбольном поле
Липовый парк, 7;Липовый парк;Освещение;1;Поздно включают свет на футбольном поле
Липовый парк, 7;Липовый парк;Крысы и насекомые;1;Бегают крысы
Липовый парк, 4;Липовый парк;Парковки;5;"Крысы и парковки | Парковки; автобус 992 ходит редко | Парковочные места"
Липовый парк, 4;Липовый парк;Дороги и тротуары;2;Плохие дороги
Липовый парк, 4;Липовый парк;Транспорт и автобусы;1;"Парковки; автобус 992 ходит редко"
Липовый парк, 4;Липовый парк;Управляющая компания и ЖКХ;1;Полгода нет уборщиц в домах и подъездах
Липовый парк, 4;Липовый парк;Мусор и уборка;1;Полгода нет уборщиц в домах и подъездах
Липовый парк, 4;Липовый парк;Крысы и насекомые;1;Крысы и парковки
Скандинавский бульвар, 7;Скандинавский бульвар;Благоустройство и детские площадки;2;Мало качелей для малышей | Расширить школу, детская поликлиника на каждые 15 домов, мотошкола и гаражный комплекс, вопрос по дубам
Скандинавский бульвар, 7;Скандинавский бульвар;Парковки;2;Парковки | Парковок нет
Скандинавский бульвар, 7;Скандинавский бульвар;Мигранты и общественный порядок;1;Мигранты, ввести регуляцию до 23:00
Скандинавский бульвар, 7;Скандинавский бульвар;Школы, сады и поликлиники;1;Расширить школу, детская поликлиника на каждые 15 домов, мотошкола и гаражный комплекс, вопрос по дубам
