Проблема;Всего заявок;Топ-адреса
Парковки;47;Липовый парк, 8 (7), Липовый парк, 4 (5), Липовый парк, 7 (3), Липовый парк, 10 (3), Фитаревская, 6 (3)
Крысы и насекомые;15;Липовый парк, 8 (3), Липовый парк, 10 (3), Липовый парк, 9 (2), Липовый парк, 4 (1), Липовый парк, 4к1 (1)
Мигранты и общественный порядок;14;Бульвар Веласкеса, 6 (2), Липовый парк, 7 (2), Липовый парк, 11 (2), Бульвар Веласкеса, 5 (1), Скандинавский бульвар, 7 (1)
Мусор и уборка;13;Липовый парк, 4к1 (2), Бульвар Веласкеса, 6 (1), Бульвар Веласкеса, 7 (1), Скандинавский бульвар, 1к2 (1), Липовый парк, 9 (1)
Спортивные площадки;12;Липовый парк, 9 (3), Посёлок Коммунарка, 103 (2), Бульвар Веласкеса, 5к5 (1), Бульвар Веласкеса, 8 (1), Поселение Воскресенское, 39а (1)
Вырубка дубов;12;Липовый парк, 7 (2), Скандинавский бульвар, 7 (1), Скандинавский бульвар, 12 (1), Липовый парк, 9 (1), Липовый парк, 11 (1)
Дороги и тротуары;11;Липовый парк, 9 (2), Липовый парк, 4 (2), Улица Сальвадора Дали, 1к3 (1), Липовый парк, 8к1 (1), Липовый парк, 10 (1)
Шум и ночные гонки;11;Липовый парк, 7 (2), Скандинавский бульвар, 3к1 (1), Скандинавский бульвар, 7 (1), Скандинавский бульвар, 3к2 (1), Дзен-кварталы, квартал 160, к. 1в (1)
Освещение;10;Ясная, 5 (2), Скандинавский бульвар, 7 (1), Скандинавский бульвар, 3к2 (1), Липовый парк, 9 (1), Липовый парк, 7 (1)
Управляющая компания и ЖКХ;10;Липовый парк, 4к1 (4), Скандинавский бульвар, 1к2 (1), Липовый парк, 9 (1), Липовый парк, 4 (1), Бачуринская, 17 (1)
Благоустройство и детские площадки;8;Скандинавский бульвар, 7 (2), Бульвар Веласкеса, 6 (1), Поселение Воскресенское, 39а (1), Липовый парк, 11 (1), Липовый парк, 10 (1)
Транспорт и автобусы;8;Скандинавский бульвар, 6 (1), Скандинавский бульвар, 9 (1), Липовый парк, 4 (1), Липовый парк, 10к1 (1), Метро Потапово, 2в (1)
Площадки для выгула собак;7;Липовый парк, 8 (2), Бульвар Веласкеса, 6 (1), Прокшинский проспект, 9 (1), Липовый парк, 9 (1), Липовый парк, 11 (1)
Питбайки и мотошум;7;Липовый парк, 8 (2), Липовый парк, 7 (1), Липовый парк, 10 (1), Липовый парк, 6 (1), Фитаревская, 19 (1)
Безопасность и охрана;6;ЖК Николин Парк, ул. Николо-Хованская, 16 (1), Бульвар Веласкеса, 5 (1), Липовый парк, 9 (1), Липовый парк, 8к2 (1), Фитаревская, 6 (1)
Запахи и Фуд Сити / промзона;6;Бульвар Веласкеса, 1 (2), Бульвар Веласкеса, 6 (1), Бульвар Веласкеса, 5к2 (1), Бульвар Веласкеса, 3/2 (1), Фитаревская, 15 (1)
Озеленение и уход за газонами;6;Скандинавский бульвар, 3к1 (1), Скандинавский бульвар, 1к2 (1), Дзен-кварталы, квартал 160, к. 1в (1), Улица Александры Монаховой, 43к1 и 43к2 (1), Липовый парк, 8к1 (1)
Лифты;6;Липовый парк, 2 (2), Липовый парк, 4к1 (1), Липовый парк, 8к1 (1), Лазурная, 14 (1), Фитаревская, 17 (1)
Шлагбаумы и доступ во двор;4;ЖК Николин Парк, ул. Николо-Хованская, 16 (1), Липовый парк, 7к2 (1), Липовый парк, 10к4 (1), Фитаревская, 6 (1)
Борщевик;4;Бульвар Веласкеса, 6 (1), Бульвар Веласкеса, 5 (1), Скандинавский бульвар, 1к2 (1), Бачуринская, 19 (1)
Прочее / федеральные темы;3;Бачуринская, 9Ак2 (1), Липовый парк, 8 (1), Фитаревская, 21 (1)
Электроснабжение;3;Скандинавский бульвар, 12 (1), Липовый парк, 4к3 (1), Фитаревская, 2 (1)
Самокаты и доставщики;3;Липовый парк, 10к1 (1), Липовый парк, 8 (1), Липовый парк, 10 (1)
Наркомания, алкоголь, бездомные;3;Липовый парк, 7 (2), Фитаревская, 27 (1)
Экология и водоёмы;2;Бульвар Веласкеса, 6 (1), Скандинавский бульвар, 3к2 (1)
Школы, сады и поликлиники;2;Скандинавский бульвар, 7 (1), Лазурная, 7 (1)
Точечная застройка;2;Скандинавский бульвар, 12 (1), Адрес не указан (1)
Досуг и культура;2;Липовый парк, 10к1 (1), Липовый парк, 10к2 (1)
Доступная среда;2;Бачуринская, 19 (1), Ясная, 5 (1)
Опасные собаки;1;Бульвар Веласкеса, 5 (1)
Свалка;1;Улица Сервантеса, 1к1 (1)
Госуслуги и ведомства;1;Фитаревская, 17 (1)
