Кластер, месяц 1, неделя 1: 31.08 - 06.09.2026

01 | 31.08 пн  | TG   | пост     | P-01-krt-karta               | Москва меняет промзоны на жильё. Свой адрес вы проверите
02 | 31.08 пн  | VK   | пост     | P-01-krt-karta-b             | Промзоны Москвы уходят под жильё. Как проверить свою пло
03 | 31.08 пн  | IG   | пост     | P-54-nds-schet               | 22 % разницы между объявлением и счётом. И никакого обма
04 | 31.08 пн  | TG   | видео    | без генерации                | Минута по территории
05 | 31.08 пн  | IG   | карусель | P-02-karusel-krt             | Ваш цех могут снести под жильё
06 | 31.08 пн  | DZEN | статья   | P-03-dzen-oblozhka-krt       | Как за 4 минуты проверить, не снесут ли вашу площадку
07 | 31.08 пн  | IG   | истории  | P-S-dogovor-v-cetverg        | Договор в четверг
08 | 01.09 вт  | VC   | статья   | P-402-vc-kadry               | 3,5 резюме на вакансию: как производство разучилось нани
09 | 02.09 ср  | TG   | пост     | без генерации                | Новичка на просмотре видно за 5 минут. По тому, куда он 
10 | 02.09 ср  | IG   | истории  | P-S-sotna-masterskih-v-odnom-kvartale | Сотня мастерских в одном квартале
11 | 03.09 чт  | VK   | пост     | P-20-moshchnost-schet        | Свободная мощность в старых промзонах Москвы разобрана. 
12 | 03.09 чт  | DZEN | статья   | P-401-dzen-moshchnost        | 5 МВт на здании и 100 кВт вам: почему это разные цифры
13 | 04.09 пт  | TG   | пост     | P-04-nagruzka                | Пол решает, какой станок вы сможете поставить. 200 кг пр
14 | 05.09 сб  | VC   | статья   | P-09-vc-oblozhka             | Сколько стоит вынужденный переезд производства и как не 
15 | 05.09 сб  | IG   | истории  | P-S-10-minut-na-kajdoj-otgruzke | 10 минут на каждой отгрузке
16 | 06.09 вс  | VK   | пост     | P-04-nagruzka-b              | 4 тонны на квадрат: как проверить, выдержит ли пол ваш с
